trial_id,run_id,ObjectSpace,condition,image_file,iti,sampled_f0,sampled_f1,event_type,fix_dur,fix_kind,trial_duration_max,img_onset,img_dur,isi1_dur,isi1_type,dec_onset_est,max_dec_dur,isi2_dur,isi2_type,fb_dur
52,2,20.0,Medium,20_0.796_0.673.png,1.3782137632369995,0.789,0.677,,,,7.549129962921143,198.47679138183594,1.0,1.4132540225982666,hidden,200.89004516601562,3.0,1.135875940322876,fixation,1.0
53,2,8.0,Congruent,8_0.878_0.612.png,1.234351634979248,0.881,0.617,,,,7.569885611534119,207.40414428710938,1.0,1.3424040079116821,hidden,209.74655151367188,3.0,1.2274816036224365,fixation,1.0
54,2,11.0,Congruent,11_0.224_0.837.png,1.3494746685028076,0.223,0.842,,,,7.339916467666626,216.2083740234375,1.0,1.1142069101333618,hidden,218.3225860595703,3.0,1.2257095575332642,fixation,1.0
55,2,9.0,Medium,9_0.776_0.367.png,1.3775941133499146,0.785,0.374,,,,7.63699746131897,224.89776611328125,1.0,1.3433442115783691,hidden,227.24111938476562,3.0,1.2936532497406006,fixation,1.0
56,2,20.0,Medium,20_0.449_0.694.png,1.2510408163070679,0.445,0.703,,,,7.464839935302734,233.912353515625,1.0,1.1620787382125854,hidden,236.07443237304688,3.0,1.302761197090149,fixation,1.0
57,2,,Fixation,,1.3209950923919678,,,fixation,5.0,run_end,2.6129614114761353,242.62823486328125,0.0,1.2154401540756226,hidden,243.84368896484375,0.0,1.3975212574005127,fixation,0.0
58,3,,Fixation,,1.1988459825515747,,,fixation,10.0,run_start,2.6525068283081055,0.0,0.0,1.230333924293518,hidden,1.230333924293518,0.0,1.4221729040145874,fixation,0.0
59,3,11.0,Congruent,11_0.469_0.857.png,1.3309379816055298,0.477,0.853,,,,7.070613861083984,3.8513526916503906,1.0,1.4461017847061157,hidden,6.297454833984375,2.5,1.1245120763778687,fixation,1.0
60,3,2.0,Incongruent,2_0.816_0.245.png,1.4617013931274414,0.825,0.24,,,,7.030164122581482,12.252904891967773,1.0,1.3737483024597168,hidden,14.626652717590332,2.5,1.1564158201217651,fixation,1.0
61,3,20.0,Medium,20_0.449_0.796.png,1.2879806756973267,0.451,0.792,,,,6.93597149848938,20.744770050048828,1.0,1.2614202499389648,hidden,23.00619125366211,2.5,1.174551248550415,fixation,1.0
62,3,8.0,Congruent,8_0.918_0.653.png,1.4259374141693115,0.924,0.65,,,,7.06012487411499,28.96872329711914,1.0,1.0879442691802979,hidden,31.05666732788086,2.5,1.4721806049346924,fixation,1.0
63,3,9.0,Medium,9_0.163_0.510.png,1.3260258436203003,0.153,0.508,,,,6.858477830886841,37.45478439331055,1.0,1.1900438070297241,hidden,39.64482879638672,2.5,1.1684340238571167,fixation,1.0
