var_idx,n_iter,stage1_obj_mean,stage1_obj_p95,stage1_obj_max,best_csv,best_iter
155,20,1017.0300350907703,1021.9132960001405,1024.965268125147,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0155_iter0003_d000778.csv,3
49,20,1017.0371554091276,1021.7673997079138,1021.783306779632,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0249_iter0004_d001249.csv,4
93,20,1017.0429345120656,1020.7260866559295,1032.0805720695355,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0293_iter0003_d002468.csv,3
11,20,1017.049813109133,1021.0862967712937,1023.3330254085593,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0211_iter0003_d001058.csv,3
140,20,1017.0690413534188,1023.3629846091053,1023.3712792216058,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0340_iter0000_d002700.csv,0
141,20,1017.0814774422785,1026.8468563428407,1032.1661956433852,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0341_iter0002_d003707.csv,2
188,20,1017.152056155782,1022.7157327336857,1025.7572763341614,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0188_iter0003_d000943.csv,3
35,20,1017.1531977832885,1024.8181340351512,1024.8269000000992,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0235_iter0003_d002178.csv,3
5,20,1017.1671285356821,1021.1560838390847,1024.1678429053857,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0205_iter0000_d003025.csv,0
6,20,1017.182363189993,1022.0629983722238,1030.4426084336055,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0206_iter0000_d001030.csv,0
193,20,1017.1830192532829,1020.6166078422764,1031.2917755070134,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0193_iter0000_d000965.csv,0
46,20,1017.1935638500223,1022.5551099565332,1024.1370844933722,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0246_iter0001_d003231.csv,1
128,20,1017.1971427872495,1023.6459308247138,1028.9130820489786,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0328_iter0002_d001642.csv,2
112,20,1017.2054723455667,1023.3678895182056,1024.9154715425748,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0112_iter0003_d000563.csv,3
29,20,1017.290024717537,1028.0176234646485,1040.93638208586,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0229_iter0000_d002145.csv,0
2,20,1017.3955893181003,1022.651968906494,1026.5627763122995,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0202_iter0004_d001014.csv,4
72,20,1017.4093885980626,1021.1245701387219,1025.6770354909388,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0072_iter0001_d000361.csv,1
154,20,1017.4307073378101,1024.9985881231728,1026.5500443271285,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0154_iter0004_d000774.csv,4
187,20,1017.4789177123714,1026.4767984347488,1026.5179359362264,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0387_iter0000_d003935.csv,0
20,20,1017.481125211284,1023.2341985571967,1024.003172445932,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0220_iter0004_d002104.csv,4
121,20,1017.4972954725499,1025.2303437589271,1030.4324901474743,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0121_iter0004_d000609.csv,4
22,20,1017.501994183609,1024.3012330353274,1027.3492873700634,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0222_iter0004_d003114.csv,4
60,20,1017.5311965822433,1024.2640261106499,1025.7257153689616,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0260_iter0002_d001302.csv,2
168,20,1017.5827963354586,1023.5494218510574,1027.3799807160794,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0368_iter0001_d002841.csv,1
173,20,1017.6046649293205,1024.0808448851142,1024.843261622509,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0373_iter0000_d002865.csv,0
108,20,1017.6110356523297,1021.8463384881221,1026.410777337504,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0308_iter0003_d002543.csv,3
139,20,1017.6225578562705,1024.828731543549,1025.7391062738088,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0339_iter0002_d003697.csv,2
7,20,1017.6521119354462,1023.2039059932507,1023.2048926391334,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0007_iter0003_d000038.csv,3
126,20,1017.6524962996634,1022.662489393263,1024.122131926855,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0326_iter0004_d002634.csv,4
134,20,1017.6613593896316,1021.8051578704824,1022.5115005968484,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0334_iter0004_d001674.csv,4
71,20,1017.662834648749,1023.5077266515718,1027.3548251901093,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0271_iter0004_d001359.csv,4
153,20,1017.6727598814323,1021.7948562392086,1022.5610664307727,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0353_iter0001_d002766.csv,1
180,20,1017.6733923527148,1022.2839659040355,1032.1574447123173,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0380_iter0001_d001901.csv,1
122,20,1017.6922823976143,1021.9254190365082,1026.4466101605346,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0322_iter0002_d001612.csv,2
92,20,1017.7004623654514,1023.6492830265526,1032.009857966638,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0292_iter0000_d003460.csv,0
160,20,1017.7120053092461,1023.5108692102589,1027.3823370599982,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0160_iter0000_d000800.csv,0
111,20,1017.7135499351301,1022.5319881886396,1024.065616396631,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0111_iter0002_d000557.csv,2
145,20,1017.7284346638386,1024.5886891185587,1032.1861117211843,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0345_iter0000_d001725.csv,0
63,20,1017.7359266720734,1026.5015991934226,1028.0379288825818,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0263_iter0001_d003316.csv,1
196,20,1017.7965391319228,1024.9519773369525,1025.7096351754067,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0396_iter0004_d002984.csv,4
118,20,1017.850580616946,1022.9729872074251,1030.5695884533527,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0318_iter0001_d002591.csv,1
36,20,1017.8614421958127,1025.042020780207,1026.5796708606895,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0236_iter0002_d003182.csv,2
32,20,1017.8728638200603,1025.1014082042625,1027.3493188777695,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0232_iter0000_d001160.csv,0
50,20,1017.9147215513716,1026.4727339687122,1026.5098374100066,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0050_iter0001_d000251.csv,1
57,20,1017.9302324784809,1025.783658957787,1028.8074306694837,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0257_iter0002_d003287.csv,2
135,20,1017.9645027893182,1023.227373039454,1023.3395396667947,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0335_iter0000_d001675.csv,0
190,20,1017.9881796956349,1024.2238063326208,1026.5024099750526,design_optimisation\optim_out_gui_latest\candidate_bank\designs\var0390_iter0001_d001951.csv,1
