var_idx,n_iter,stage1_obj_mean,stage1_obj_p95,stage1_obj_max,best_csv,best_iter,best_stage1_obj
1058,1,1013.2800937936871,1013.2800937936871,1013.2800937936871,design_optimisation\optim_out_v4_1\candidate_bank\designs\var1058_iter0000_d001058.csv,0,1013.2800937936871
1263,1,1013.2878390011135,1013.2878390011135,1013.2878390011135,design_optimisation\optim_out_v4_1\candidate_bank\designs\var1263_iter0000_d001263.csv,0,1013.2878390011135
1113,1,1013.2906479795377,1013.2906479795377,1013.2906479795377,design_optimisation\optim_out_v4_1\candidate_bank\designs\var1113_iter0000_d001113.csv,0,1013.2906479795377
1118,1,1013.2947634901989,1013.2947634901989,1013.2947634901989,design_optimisation\optim_out_v4_1\candidate_bank\designs\var1118_iter0000_d001118.csv,0,1013.2947634901989
1775,1,1013.3104911639965,1013.3104911639965,1013.3104911639965,design_optimisation\optim_out_v4_1\candidate_bank\designs\var1775_iter0000_d001775.csv,0,1013.3104911639965
828,1,1013.3122332135499,1013.3122332135499,1013.3122332135499,design_optimisation\optim_out_v4_1\candidate_bank\designs\var0828_iter0000_d000828.csv,0,1013.3122332135499
1744,1,1013.3130576083684,1013.3130576083684,1013.3130576083684,design_optimisation\optim_out_v4_1\candidate_bank\designs\var1744_iter0000_d001744.csv,0,1013.3130576083684
2084,1,1013.3162463586042,1013.3162463586042,1013.3162463586042,design_optimisation\optim_out_v4_1\candidate_bank\designs\var2084_iter0000_d002084.csv,0,1013.3162463586042
1466,1,1013.3191759538242,1013.3191759538242,1013.3191759538242,design_optimisation\optim_out_v4_1\candidate_bank\designs\var1466_iter0000_d001466.csv,0,1013.3191759538242
1914,1,1013.3199167249921,1013.3199167249921,1013.3199167249921,design_optimisation\optim_out_v4_1\candidate_bank\designs\var1914_iter0000_d001914.csv,0,1013.3199167249921
1038,1,1013.3211892355891,1013.3211892355891,1013.3211892355891,design_optimisation\optim_out_v4_1\candidate_bank\designs\var1038_iter0000_d001038.csv,0,1013.3211892355891
1629,1,1013.3230735825281,1013.3230735825281,1013.3230735825281,design_optimisation\optim_out_v4_1\candidate_bank\designs\var1629_iter0000_d001629.csv,0,1013.3230735825281
1642,1,1013.3264594540841,1013.3264594540841,1013.3264594540841,design_optimisation\optim_out_v4_1\candidate_bank\designs\var1642_iter0000_d001642.csv,0,1013.3264594540841
876,1,1013.326718662461,1013.326718662461,1013.326718662461,design_optimisation\optim_out_v4_1\candidate_bank\designs\var0876_iter0000_d000876.csv,0,1013.326718662461
914,1,1013.3298333664634,1013.3298333664634,1013.3298333664634,design_optimisation\optim_out_v4_1\candidate_bank\designs\var0914_iter0000_d000914.csv,0,1013.3298333664634
1361,1,1013.3332674962622,1013.3332674962622,1013.3332674962622,design_optimisation\optim_out_v4_1\candidate_bank\designs\var1361_iter0000_d001361.csv,0,1013.3332674962622
915,1,1013.334329703222,1013.334329703222,1013.334329703222,design_optimisation\optim_out_v4_1\candidate_bank\designs\var0915_iter0000_d000915.csv,0,1013.334329703222
1696,1,1013.3364805419229,1013.3364805419229,1013.3364805419229,design_optimisation\optim_out_v4_1\candidate_bank\designs\var1696_iter0000_d001696.csv,0,1013.3364805419229
2308,1,1013.3367621483127,1013.3367621483127,1013.3367621483127,design_optimisation\optim_out_v4_1\candidate_bank\designs\var2308_iter0000_d002308.csv,0,1013.3367621483127
1918,1,1013.3369816411216,1013.3369816411216,1013.3369816411216,design_optimisation\optim_out_v4_1\candidate_bank\designs\var1918_iter0000_d001918.csv,0,1013.3369816411216
1634,1,1013.3422646113098,1013.3422646113098,1013.3422646113098,design_optimisation\optim_out_v4_1\candidate_bank\designs\var1634_iter0000_d001634.csv,0,1013.3422646113098
2116,1,1013.3440629788483,1013.3440629788483,1013.3440629788483,design_optimisation\optim_out_v4_1\candidate_bank\designs\var2116_iter0000_d002116.csv,0,1013.3440629788483
802,1,1013.3449290682418,1013.3449290682418,1013.3449290682418,design_optimisation\optim_out_v4_1\candidate_bank\designs\var0802_iter0000_d000802.csv,0,1013.3449290682418
565,1,1013.3483332280914,1013.3483332280914,1013.3483332280914,design_optimisation\optim_out_v4_1\candidate_bank\designs\var0565_iter0000_d000565.csv,0,1013.3483332280914
1401,1,1013.3526969554692,1013.3526969554692,1013.3526969554692,design_optimisation\optim_out_v4_1\candidate_bank\designs\var1401_iter0000_d001401.csv,0,1013.3526969554692
714,1,1013.3597480994129,1013.3597480994129,1013.3597480994129,design_optimisation\optim_out_v4_1\candidate_bank\designs\var0714_iter0000_d000714.csv,0,1013.3597480994129
1337,1,1013.3619405836209,1013.3619405836209,1013.3619405836209,design_optimisation\optim_out_v4_1\candidate_bank\designs\var1337_iter0000_d001337.csv,0,1013.3619405836209
1890,1,1013.3719589159091,1013.3719589159091,1013.3719589159091,design_optimisation\optim_out_v4_1\candidate_bank\designs\var1890_iter0000_d001890.csv,0,1013.3719589159091
694,1,1013.3724278784822,1013.3724278784822,1013.3724278784822,design_optimisation\optim_out_v4_1\candidate_bank\designs\var0694_iter0000_d000694.csv,0,1013.3724278784822
535,1,1013.380512279247,1013.380512279247,1013.380512279247,design_optimisation\optim_out_v4_1\candidate_bank\designs\var0535_iter0000_d000535.csv,0,1013.380512279247
1184,1,1013.3808290773744,1013.3808290773744,1013.3808290773744,design_optimisation\optim_out_v4_1\candidate_bank\designs\var1184_iter0000_d001184.csv,0,1013.3808290773744
817,1,1013.3814843801057,1013.3814843801057,1013.3814843801057,design_optimisation\optim_out_v4_1\candidate_bank\designs\var0817_iter0000_d000817.csv,0,1013.3814843801057
1837,1,1013.3823342449723,1013.3823342449723,1013.3823342449723,design_optimisation\optim_out_v4_1\candidate_bank\designs\var1837_iter0000_d001837.csv,0,1013.3823342449723
1788,1,1013.3840847708215,1013.3840847708215,1013.3840847708215,design_optimisation\optim_out_v4_1\candidate_bank\designs\var1788_iter0000_d001788.csv,0,1013.3840847708215
1602,1,1013.396450864832,1013.396450864832,1013.396450864832,design_optimisation\optim_out_v4_1\candidate_bank\designs\var1602_iter0000_d001602.csv,0,1013.396450864832
640,1,1013.3970596443024,1013.3970596443024,1013.3970596443024,design_optimisation\optim_out_v4_1\candidate_bank\designs\var0640_iter0000_d000640.csv,0,1013.3970596443024
620,1,1013.397582064422,1013.397582064422,1013.397582064422,design_optimisation\optim_out_v4_1\candidate_bank\designs\var0620_iter0000_d000620.csv,0,1013.397582064422
