var_idx,iter_idx,seed,csv,isi_dist,iti_dist,isi_lo,isi_hi,iti_lo,iti_hi,isi_shape,iti_shape,enc_raw_max_worst,enc_raw_p95_worst,enc_raw_mean,enc_part_max_worst,enc_part_p95_worst,enc_part_mean,dec_raw_max_worst,dec_raw_p95_worst,dec_raw_mean,dec_part_max_worst,dec_part_p95_worst,dec_part_mean,fb_raw_max_worst,fb_raw_p95_worst,fb_raw_mean,fb_part_max_worst,fb_part_p95_worst,fb_part_mean,all_max_worst,all_p95_worst,all_mean,cov_chi2,cov_minbin,cov_chi2_worst,cov_minbin_worst,coll_max,coll_p95,coll_max_worst,coll_p95_worst,coll_enc_max,coll_enc_p95,coll_dec_max,coll_dec_p95,coll_fb_max,coll_fb_p95,enc_part_nuked_n_worst,enc_part_nuked_frac_worst,enc_part_nuked_frac_mean,coll_enc_max_worst,coll_enc_p95_worst,coll_dec_max_worst,coll_dec_p95_worst,coll_fb_max_worst,coll_fb_p95_worst,stage1_obj
1269,0,6900000,design_optimisation\optim_out_v4_1\candidate_bank\designs\var1269_iter0000_d001269.csv,exponential,exponential,2.271960180974326,2.8110839957069946,3.5370349963799352,3.9983619279573506,1.0,1.5,0.3127244933156452,0.17678736826337116,0.03016350954013416,0.3252868809566805,0.18991088486163396,0.03517309625599146,0.3153273746715739,0.18340811066085513,0.031226819990413116,0.3216174350415318,0.19983121401963763,0.03564450453792666,0.26732450418399534,0.1752624006179135,0.02965922836057003,0.2700400723506223,0.19100896713258025,0.03467453969033767,0.7291492020572818,0.1833830909647211,0.03484219915896554,16.931034482758623,0.0,16.931034482758623,0.0,0.7291492020572818,0.1833830909647211,0.7291492020572818,0.1833830909647211,0.3252868809566805,0.18991088486163396,0.3216174350415318,0.19983121401963763,0.2700400723506223,0.19100896713258025,0.0,0.0,0.0,0.3252868809566805,0.18991088486163396,0.3216174350415318,0.19983121401963763,0.2700400723506223,0.19100896713258025,1017.478992174752
1270,0,7000000,design_optimisation\optim_out_v4_1\candidate_bank\designs\var1270_iter0000_d001270.csv,exponential,exponential,1.557721656321216,2.7430226666069615,3.332896769786805,3.8600771907662135,1.0,1.5,0.306846653976865,0.1927321863910141,0.032318039771375026,0.3221217938400727,0.20775315244620957,0.03617615305637201,0.313157170488443,0.19470621395361265,0.033432628498257205,0.3263198444362199,0.20901412154379012,0.036860896668366935,0.29909466482880964,0.19127738388126975,0.03176569397919341,0.3005166455724802,0.2077552594043894,0.03570089135023609,0.8369616302462382,0.18164219955240504,0.03764384677031841,16.10344827586207,0.0,16.10344827586207,0.0,0.8369616302462382,0.18164219955240504,0.8369616302462382,0.18164219955240504,0.3221217938400727,0.20775315244620957,0.3263198444362199,0.20901412154379012,0.3005166455724802,0.2077552594043894,0.0,0.0,0.0,0.3221217938400727,0.20775315244620957,0.3263198444362199,0.20901412154379012,0.3005166455724802,0.2077552594043894,1016.7035712905376
1271,0,7100000,design_optimisation\optim_out_v4_1\candidate_bank\designs\var1271_iter0000_d001271.csv,exponential,exponential,2.3139511063038785,2.9146340184778516,1.4111651935211287,3.4914292013334713,1.0,1.5,0.3054941904383144,0.19052345851119157,0.03208181851139763,0.3275527224266982,0.20272965715388808,0.036292708334454346,0.30758786598705523,0.19639605348194106,0.03313683720537098,0.30965120236286736,0.20642283167935666,0.03677458344888899,0.29117234185667357,0.19400821468422416,0.0315117423288859,0.29520198727308417,0.2003184574031617,0.03557538824417948,0.7539478049407233,0.1800626086936816,0.037191416224422555,23.551724137931043,0.0,23.551724137931043,0.0,0.7539478049407233,0.1800626086936816,0.7539478049407233,0.1800626086936816,0.3275527224266982,0.20272965715388808,0.30965120236286736,0.20642283167935666,0.29520198727308417,0.2003184574031617,0.0,0.0,0.0,0.3275527224266982,0.20272965715388808,0.30965120236286736,0.20642283167935666,0.29520198727308417,0.2003184574031617,1024.108760649095
1272,0,7200000,design_optimisation\optim_out_v4_1\candidate_bank\designs\var1272_iter0000_d001272.csv,exponential,exponential,1.698438050304948,2.183045269803711,1.713279321544459,2.2524080163723665,1.0,1.5,0.2839084881425279,0.1955151719602783,0.037421587570908924,0.27713583519223967,0.20474535825131077,0.039487272993630536,0.27290529243659895,0.19916202935704924,0.03865763400958758,0.27371435028021135,0.21065545109435924,0.04066795356387533,0.29346479695685557,0.1942393555366633,0.03686235128023393,0.290523810071896,0.20297072754754472,0.03884309771918171,0.8174265848352574,0.1938047504494644,0.045034577613541946,16.103448275862068,0.0,16.103448275862068,0.0,0.8174265848352574,0.1938047504494644,0.8174265848352574,0.1938047504494644,0.27713583519223967,0.20474535825131077,0.27371435028021135,0.21065545109435924,0.290523810071896,0.20297072754754472,0.0,0.0,0.0,0.27713583519223967,0.20474535825131077,0.27371435028021135,0.21065545109435924,0.290523810071896,0.20297072754754472,1016.7059663187292
1273,0,7300000,design_optimisation\optim_out_v4_1\candidate_bank\designs\var1273_iter0000_d001273.csv,exponential,exponential,1.4999506227556907,2.3713653518178344,1.8135860732083868,3.260961190145811,1.0,1.5,0.2867392004664726,0.20602863618732184,0.03559248470027457,0.29998418233517543,0.21320582647211234,0.03846093287611321,0.3120235258209149,0.21010109175066202,0.036754066374509724,0.31246914968592715,0.21926975128532025,0.039186371838280165,0.3070136663044613,0.20169539675777873,0.03494571155279682,0.30441823066005336,0.21230383967548228,0.03760797117894467,0.8560122953340688,0.1904683184643793,0.04211627270375552,16.10344827586207,0.0,16.10344827586207,0.0,0.8560122953340688,0.1904683184643793,0.8560122953340688,0.1904683184643793,0.29998418233517543,0.21320582647211234,0.31246914968592715,0.21926975128532025,0.30441823066005336,0.21230383967548228,0.0,0.0,0.0,0.29998418233517543,0.21320582647211234,0.31246914968592715,0.21926975128532025,0.30441823066005336,0.21230383967548228,1016.7219227419935
1274,0,7400000,design_optimisation\optim_out_v4_1\candidate_bank\designs\var1274_iter0000_d001274.csv,exponential,exponential,0.7576503863697542,2.877979176848679,2.6205563890326022,3.8274037773444465,1.0,1.5,0.2978098932539811,0.19305480239733624,0.0335173264506997,0.31242459003599443,0.2043733665659121,0.0371476763472469,0.3134645533059561,0.20312738387045218,0.03478459027138017,0.3159363808527555,0.20143614059181683,0.038887483880466825,0.30184227755514514,0.19727697633127333,0.03315421490893597,0.303045591211163,0.19964294973103533,0.03658576923805431,0.9613320829482129,0.18874966199811477,0.039920512386571315,21.896551724137936,0.0,21.896551724137936,0.0,0.9613320829482129,0.18874966199811477,0.9613320829482129,0.18874966199811477,0.31242459003599443,0.2043733665659121,0.3159363808527555,0.20143614059181683,0.303045591211163,0.19964294973103533,0.0,0.0,0.0,0.31242459003599443,0.2043733665659121,0.3159363808527555,0.20143614059181683,0.303045591211163,0.19964294973103533,1022.5659674276101
1275,0,7500000,design_optimisation\optim_out_v4_1\candidate_bank\designs\var1275_iter0000_d001275.csv,exponential,exponential,2.3832825877538957,2.9096981988344277,0.6246764848042622,3.1415799633537613,1.0,1.5,0.31039904987578526,0.196667521129038,0.0334180789090575,0.3334910789142343,0.20396099463695921,0.03750814306775989,0.31182927351978706,0.20174071538914903,0.03454224789429576,0.31985479339521117,0.21307103186996262,0.03758288598890014,0.2879985449146096,0.19533147074014018,0.03284957356174563,0.2964859247603681,0.20339567851885088,0.036755785995566524,0.8822978675740242,0.18300665845248246,0.038874633771948476,21.068965517241384,0.0,21.068965517241384,0.0,0.8822978675740242,0.18300665845248246,0.8822978675740242,0.18300665845248246,0.3334910789142343,0.20396099463695921,0.31985479339521117,0.21307103186996262,0.2964859247603681,0.20339567851885088,0.0,0.0,0.0,0.3334910789142343,0.20396099463695921,0.31985479339521117,0.21307103186996262,0.2964859247603681,0.20339567851885088,1021.6931211094809
1276,0,7600000,design_optimisation\optim_out_v4_1\candidate_bank\designs\var1276_iter0000_d001276.csv,exponential,exponential,1.6949542939530522,2.8424833312568367,2.149697467770467,3.729147438597871,1.0,1.5,0.29935680676359366,0.19383788928249607,0.032479511947816606,0.32097245742739505,0.20618816086881755,0.03643746776959847,0.3077081780396071,0.19701930176271504,0.03361258081303607,0.31130011269640545,0.2094083305077281,0.037027859687133166,0.2996889959362657,0.19164439083269225,0.03192820355311328,0.30132986168667036,0.20281962562236985,0.0358403856604931,0.8184045628786888,0.18359812558895905,0.03789430510923695,16.931034482758623,0.0,16.931034482758623,0.0,0.8184045628786888,0.18359812558895905,0.8184045628786888,0.18359812558895905,0.32097245742739505,0.20618816086881755,0.31130011269640545,0.2094083305077281,0.30132986168667036,0.20281962562236985,0.0,0.0,0.0,0.32097245742739505,0.20618816086881755,0.31130011269640545,0.2094083305077281,0.30132986168667036,0.20281962562236985,1017.5238348897869
1277,0,7700000,design_optimisation\optim_out_v4_1\candidate_bank\designs\var1277_iter0000_d001277.csv,exponential,exponential,2.5937216154522327,2.9959225333630704,1.0301664640640897,2.436705498881701,1.0,1.5,0.28311057103139653,0.20189028433638506,0.03390338065240366,0.31946946163576323,0.2099770154203392,0.037066547351067874,0.311349706093766,0.20402670746589247,0.034995970816499807,0.31649134565163695,0.21839551008870864,0.03806779995018705,0.28994679661142164,0.1997065508106708,0.033271926151759716,0.29613059056855356,0.21076909058137977,0.036265372071375875,0.7990528778694133,0.18532623202265278,0.039322694286519744,26.034482758620697,0.0,26.034482758620697,0.0,0.7990528778694133,0.18532623202265278,0.7990528778694133,0.18532623202265278,0.31946946163576323,0.2099770154203392,0.31649134565163695,0.21839551008870864,0.29613059056855356,0.21076909058137977,0.0,0.0,0.0,0.31946946163576323,0.2099770154203392,0.31649134565163695,0.21839551008870864,0.29613059056855356,0.21076909058137977,1026.619335429578
1278,0,7800000,design_optimisation\optim_out_v4_1\candidate_bank\designs\var1278_iter0000_d001278.csv,exponential,exponential,2.0814049787179205,2.709186915982684,2.3239783392305657,2.8864905080851138,1.0,1.5,0.2870946609259107,0.20017946898658426,0.03414641249431179,0.3187164182856879,0.212675519151858,0.037221419724008865,0.30969688563975606,0.2057788250590235,0.03526457870690141,0.31269206684793094,0.21801363559911555,0.03829971538808656,0.2990263027599526,0.20001655699752138,0.033582431762936724,0.2997032189083322,0.21162744335725744,0.03648652273075399,0.7255028340750727,0.17906024976722687,0.039681832277739165,16.10344827586207,0.0,16.10344827586207,0.0,0.7255028340750727,0.17906024976722687,0.7255028340750727,0.17906024976722687,0.3187164182856879,0.212675519151858,0.31269206684793094,0.21801363559911555,0.2997032189083322,0.21162744335725744,0.0,0.0,0.0,0.3187164182856879,0.212675519151858,0.31269206684793094,0.21801363559911555,0.2997032189083322,0.21162744335725744,1016.6452599426668
1279,0,7900000,design_optimisation\optim_out_v4_1\candidate_bank\designs\var1279_iter0000_d001279.csv,exponential,exponential,2.024859372961359,2.5859461411933458,1.0909144372524566,3.656129820070563,1.0,1.5,0.29544783665345337,0.1983515856993621,0.03389965664571726,0.32254841437303455,0.20747724223297115,0.037926313512428055,0.3159604826804087,0.20770604245829172,0.03506126100620917,0.3176528335372746,0.2149156186530134,0.037619692584369875,0.29655492831409874,0.19905338525381017,0.03336730873928931,0.29498080457058384,0.20785265446587775,0.03726342278823751,0.7730951213594357,0.19184598811613615,0.03963084259541877,23.551724137931043,0.0,23.551724137931043,0.0,0.7730951213594357,0.19184598811613615,0.7730951213594357,0.19184598811613615,0.32254841437303455,0.20747724223297115,0.3176528335372746,0.2149156186530134,0.29498080457058384,0.20785265446587775,0.0,0.0,0.0,0.32254841437303455,0.20747724223297115,0.3176528335372746,0.2149156186530134,0.29498080457058384,0.20785265446587775,1024.1301176867269
1280,0,8000000,design_optimisation\optim_out_v4_1\candidate_bank\designs\var1280_iter0000_d001280.csv,exponential,exponential,1.6852669243532477,2.528454132033232,3.286353672270302,3.7133311569799208,1.0,1.5,0.30325850132163623,0.19715671888564495,0.03323779809805566,0.321316246199271,0.2087849897495656,0.03681357601956992,0.31531935167433034,0.20103481400867249,0.034353037831232225,0.3210951693931771,0.2102797379150188,0.03746821144719013,0.29576922417813595,0.19592079042569413,0.03270927088078045,0.29685732040389146,0.2096013380470037,0.03626642198381423,0.8385973876908216,0.17906524471156546,0.038761073747847125,13.620689655172416,0.0,13.620689655172416,0.0,0.8385973876908216,0.17906524471156546,0.8385973876908216,0.17906524471156546,0.321316246199271,0.2087849897495656,0.3210951693931771,0.2102797379150188,0.29685732040389146,0.2096013380470037,0.0,0.0,0.0,0.321316246199271,0.2087849897495656,0.3210951693931771,0.2102797379150188,0.29685732040389146,0.2096013380470037,1014.2190535937294
1281,0,8100000,design_optimisation\optim_out_v4_1\candidate_bank\designs\var1281_iter0000_d001281.csv,exponential,exponential,1.9619243457158748,2.571201859851029,1.0437702249537515,3.168710626161121,1.0,1.5,0.28729745702793225,0.1984700956132486,0.03455676677546504,0.3068787318939443,0.21045913380693448,0.03796366722897383,0.31305641686517477,0.20618976319599186,0.03572368932545353,0.31699064087064216,0.21842402932669994,0.03839854822741779,0.2979910206821014,0.1955152401775226,0.03396709595538268,0.2996105601455712,0.20720588972279325,0.03714240368246481,0.7993171187908003,0.18532181582349838,0.04077707852964173,16.931034482758623,0.0,16.931034482758623,0.0,0.7993171187908003,0.18532181582349838,0.7993171187908003,0.18532181582349838,0.3068787318939443,0.21045913380693448,0.31699064087064216,0.21842402932669994,0.2996105601455712,0.20720588972279325,0.0,0.0,0.0,0.3068787318939443,0.21045913380693448,0.31699064087064216,0.21842402932669994,0.2996105601455712,0.20720588972279325,1017.5160148579776
1282,0,8200000,design_optimisation\optim_out_v4_1\candidate_bank\designs\var1282_iter0000_d001282.csv,exponential,exponential,1.2619260968121657,2.103351101042726,3.4254010722104824,3.8601983488033507,1.0,1.5,0.2833633476867607,0.2037251434537377,0.034690217218145504,0.29533935723935445,0.21409202163936883,0.037739443245109125,0.3198317122556523,0.20896373077005848,0.03592082594997771,0.3153320490434213,0.21396112854567867,0.038352082966419246,0.3132279295800515,0.20305878892080317,0.0341910302744149,0.3172928791176995,0.21312405674981835,0.03719510976246614,0.8951394901259384,0.18332695891750275,0.04101018381994593,36.79310344827586,0.0,36.79310344827586,0.0,0.8951394901259384,0.18332695891750275,0.8951394901259384,0.18332695891750275,0.29533935723935445,0.21409202163936883,0.3153320490434213,0.21396112854567867,0.3172928791176995,0.21312405674981835,0.0,0.0,0.0,0.29533935723935445,0.21409202163936883,0.3153320490434213,0.21396112854567867,0.3172928791176995,0.21312405674981835,1037.4240001522562
1283,0,8300000,design_optimisation\optim_out_v4_1\candidate_bank\designs\var1283_iter0000_d001283.csv,exponential,exponential,1.5755646814592437,2.00016465233818,1.0064410825245642,3.6976396170047456,1.0,1.5,0.2796020697925548,0.19996155735151114,0.03592695391825976,0.29352655510052744,0.2087974340537854,0.03927977742587474,0.32324332918792875,0.20861293648815493,0.03712868358075909,0.328022353358852,0.21776500164961357,0.03885334049700265,0.29778281345793994,0.19613057306290116,0.03547682851375126,0.30723985550242106,0.20868094376601404,0.038631093298883354,0.8555530496680861,0.18839157541653667,0.04321272453439317,14.448275862068966,0.0,14.448275862068966,0.0,0.8555530496680861,0.18839157541653667,0.8555530496680861,0.18839157541653667,0.29352655510052744,0.2087974340537854,0.328022353358852,0.21776500164961357,0.30723985550242106,0.20868094376601404,0.0,0.0,0.0,0.29352655510052744,0.2087974340537854,0.328022353358852,0.21776500164961357,0.30723985550242106,0.20868094376601404,1015.0644439623195
1284,0,8400000,design_optimisation\optim_out_v4_1\candidate_bank\designs\var1284_iter0000_d001284.csv,exponential,exponential,2.15741985133062,2.803864185303102,1.189605527573217,2.9339972177330145,1.0,1.5,0.28851190216125083,0.2047947829098572,0.034103727636900776,0.31160494267350997,0.21374189394608303,0.03747096241179804,0.3135919291489709,0.20427667210137923,0.035210374295183006,0.320194182131571,0.21426599104009536,0.038081381346399726,0.2965099745079253,0.20066736668643798,0.03347757537744708,0.29751417521172185,0.2096407976380732,0.036744268366306766,0.8187903157966122,0.18490506887574576,0.039830508129010636,16.103448275862068,0.0,16.103448275862068,0.0,0.8187903157966122,0.18490506887574576,0.8187903157966122,0.18490506887574576,0.31160494267350997,0.21374189394608303,0.320194182131571,0.21426599104009536,0.29751417521172185,0.2096407976380732,0.0,0.0,0.0,0.31160494267350997,0.21374189394608303,0.320194182131571,0.21426599104009536,0.29751417521172185,0.2096407976380732,1016.6977485026362
