rank_stage1,var_idx,best_iter,stage1_obj,stage1_obj_mean,stage1_obj_p95,stage1_obj_max,csv
134,1914,0,1013.3199167249921,1013.3199167249921,1013.3199167249921,1013.3199167249921,design_optimisation\optim_out_v4_1\designs\cand_rank0134.csv
135,1038,0,1013.3211892355891,1013.3211892355891,1013.3211892355891,1013.3211892355891,design_optimisation\optim_out_v4_1\designs\cand_rank0135.csv
136,1629,0,1013.3230735825281,1013.3230735825281,1013.3230735825281,1013.3230735825281,design_optimisation\optim_out_v4_1\designs\cand_rank0136.csv
137,1642,0,1013.3264594540841,1013.3264594540841,1013.3264594540841,1013.3264594540841,design_optimisation\optim_out_v4_1\designs\cand_rank0137.csv
138,876,0,1013.326718662461,1013.326718662461,1013.326718662461,1013.326718662461,design_optimisation\optim_out_v4_1\designs\cand_rank0138.csv
139,914,0,1013.3298333664634,1013.3298333664634,1013.3298333664634,1013.3298333664634,design_optimisation\optim_out_v4_1\designs\cand_rank0139.csv
140,1361,0,1013.3332674962622,1013.3332674962622,1013.3332674962622,1013.3332674962622,design_optimisation\optim_out_v4_1\designs\cand_rank0140.csv
141,915,0,1013.334329703222,1013.334329703222,1013.334329703222,1013.334329703222,design_optimisation\optim_out_v4_1\designs\cand_rank0141.csv
142,1696,0,1013.3364805419229,1013.3364805419229,1013.3364805419229,1013.3364805419229,design_optimisation\optim_out_v4_1\designs\cand_rank0142.csv
143,2308,0,1013.3367621483127,1013.3367621483127,1013.3367621483127,1013.3367621483127,design_optimisation\optim_out_v4_1\designs\cand_rank0143.csv
144,1918,0,1013.3369816411216,1013.3369816411216,1013.3369816411216,1013.3369816411216,design_optimisation\optim_out_v4_1\designs\cand_rank0144.csv
145,1634,0,1013.3422646113098,1013.3422646113098,1013.3422646113098,1013.3422646113098,design_optimisation\optim_out_v4_1\designs\cand_rank0145.csv
146,2116,0,1013.3440629788483,1013.3440629788483,1013.3440629788483,1013.3440629788483,design_optimisation\optim_out_v4_1\designs\cand_rank0146.csv
147,802,0,1013.3449290682418,1013.3449290682418,1013.3449290682418,1013.3449290682418,design_optimisation\optim_out_v4_1\designs\cand_rank0147.csv
148,565,0,1013.3483332280914,1013.3483332280914,1013.3483332280914,1013.3483332280914,design_optimisation\optim_out_v4_1\designs\cand_rank0148.csv
149,1401,0,1013.3526969554692,1013.3526969554692,1013.3526969554692,1013.3526969554692,design_optimisation\optim_out_v4_1\designs\cand_rank0149.csv
